"STATISTIC","Statistic Label","TLIST(A1)","Year","C02062V02489","Type of Meat","UNIT","VALUE"
"ABA06C03","Supplies = Uses of Meat Products","2015","2015","-","Total Meat","000 Tonnes","1306"
"ABA06C03","Supplies = Uses of Meat Products","2015","2015","01","Beef and veal","000 Tonnes","598"
"ABA06C03","Supplies = Uses of Meat Products","2015","2015","02","Pig meat","000 Tonnes","382"
"ABA06C03","Supplies = Uses of Meat Products","2015","2015","03","Sheep meat","000 Tonnes","64"
"ABA06C03","Supplies = Uses of Meat Products","2015","2015","04","Poultry meat","000 Tonnes","262"
"ABA06C03","Supplies = Uses of Meat Products","2016","2016","-","Total Meat","000 Tonnes","1367"
"ABA06C03","Supplies = Uses of Meat Products","2016","2016","01","Beef and veal","000 Tonnes","626"
"ABA06C03","Supplies = Uses of Meat Products","2016","2016","02","Pig meat","000 Tonnes","389"
"ABA06C03","Supplies = Uses of Meat Products","2016","2016","03","Sheep meat","000 Tonnes","66"
"ABA06C03","Supplies = Uses of Meat Products","2016","2016","04","Poultry meat","000 Tonnes","287"
"ABA06C03","Supplies = Uses of Meat Products","2017","2017","-","Total Meat","000 Tonnes","1422.966217"
"ABA06C03","Supplies = Uses of Meat Products","2017","2017","01","Beef and veal","000 Tonnes","650.9315834"
"ABA06C03","Supplies = Uses of Meat Products","2017","2017","02","Pig meat","000 Tonnes","409.5036507"
"ABA06C03","Supplies = Uses of Meat Products","2017","2017","03","Sheep meat","000 Tonnes","73.02892055"
"ABA06C03","Supplies = Uses of Meat Products","2017","2017","04","Poultry meat","000 Tonnes","289.5020623"
"ABA06C03","Supplies = Uses of Meat Products","2018","2018","-","Total Meat","000 Tonnes","1466.305611"
"ABA06C03","Supplies = Uses of Meat Products","2018","2018","01","Beef and veal","000 Tonnes","663.3231705"
"ABA06C03","Supplies = Uses of Meat Products","2018","2018","02","Pig meat","000 Tonnes","426.9382999"
"ABA06C03","Supplies = Uses of Meat Products","2018","2018","03","Sheep meat","000 Tonnes","74.34589263"
"ABA06C03","Supplies = Uses of Meat Products","2018","2018","04","Poultry meat","000 Tonnes","301.6982475"
"ABA06C03","Supplies = Uses of Meat Products","2019","2019","-","Total Meat","000 Tonnes","1452.973631"
"ABA06C03","Supplies = Uses of Meat Products","2019","2019","01","Beef and veal","000 Tonnes","656.0454"
"ABA06C03","Supplies = Uses of Meat Products","2019","2019","02","Pig meat","000 Tonnes","413.0050992"
"ABA06C03","Supplies = Uses of Meat Products","2019","2019","03","Sheep meat","000 Tonnes","73.2543"
"ABA06C03","Supplies = Uses of Meat Products","2019","2019","04","Poultry meat","000 Tonnes","310.6688317"
"ABA06C03","Supplies = Uses of Meat Products","2020","2020","-","Total Meat","000 Tonnes","1460.525563"
"ABA06C03","Supplies = Uses of Meat Products","2020","2020","01","Beef and veal","000 Tonnes","668.0213"
"ABA06C03","Supplies = Uses of Meat Products","2020","2020","02","Pig meat","000 Tonnes","414.3437"
"ABA06C03","Supplies = Uses of Meat Products","2020","2020","03","Sheep meat","000 Tonnes","73.197"
"ABA06C03","Supplies = Uses of Meat Products","2020","2020","04","Poultry meat","000 Tonnes","304.9635632"
"ABA06C03","Supplies = Uses of Meat Products","2021","2021","-","Total Meat","000 Tonnes","1423.142378"
"ABA06C03","Supplies = Uses of Meat Products","2021","2021","01","Beef and veal","000 Tonnes","636.5027"
"ABA06C03","Supplies = Uses of Meat Products","2021","2021","02","Pig meat","000 Tonnes","420.999"
"ABA06C03","Supplies = Uses of Meat Products","2021","2021","03","Sheep meat","000 Tonnes","70.0033"
"ABA06C03","Supplies = Uses of Meat Products","2021","2021","04","Poultry meat","000 Tonnes","295.6373784"
"ABA06C04","Meat Exports","2012","2012","-","Total Meat","000 Tonnes","800"
"ABA06C04","Meat Exports","2012","2012","01","Beef and veal","000 Tonnes","458"
"ABA06C04","Meat Exports","2012","2012","02","Pig meat","000 Tonnes","203"
"ABA06C04","Meat Exports","2012","2012","03","Sheep meat","000 Tonnes","42"
"ABA06C04","Meat Exports","2012","2012","04","Poultry meat","000 Tonnes","96"
"ABA06C04","Meat Exports","2013","2013","-","Total Meat","000 Tonnes","804"
"ABA06C04","Meat Exports","2013","2013","01","Beef and veal","000 Tonnes","465"
"ABA06C04","Meat Exports","2013","2013","02","Pig meat","000 Tonnes","200"
"ABA06C04","Meat Exports","2013","2013","03","Sheep meat","000 Tonnes","48"
"ABA06C04","Meat Exports","2013","2013","04","Poultry meat","000 Tonnes","91"
"ABA06C04","Meat Exports","2014","2014","-","Total Meat","000 Tonnes","886"
"ABA06C04","Meat Exports","2014","2014","01","Beef and veal","000 Tonnes","524"
"ABA06C04","Meat Exports","2014","2014","02","Pig meat","000 Tonnes","209"
"ABA06C04","Meat Exports","2014","2014","03","Sheep meat","000 Tonnes","47"
"ABA06C04","Meat Exports","2014","2014","04","Poultry meat","000 Tonnes","106"
"ABA06C04","Meat Exports","2015","2015","-","Total Meat","000 Tonnes","907"
"ABA06C04","Meat Exports","2015","2015","01","Beef and veal","000 Tonnes","511"
"ABA06C04","Meat Exports","2015","2015","02","Pig meat","000 Tonnes","235"
"ABA06C04","Meat Exports","2015","2015","03","Sheep meat","000 Tonnes","48"
"ABA06C04","Meat Exports","2015","2015","04","Poultry meat","000 Tonnes","113"
"ABA06C04","Meat Exports","2016","2016","-","Total Meat","000 Tonnes","948"
"ABA06C04","Meat Exports","2016","2016","01","Beef and veal","000 Tonnes","537"
"ABA06C04","Meat Exports","2016","2016","02","Pig meat","000 Tonnes","241"
"ABA06C04","Meat Exports","2016","2016","03","Sheep meat","000 Tonnes","51"
"ABA06C04","Meat Exports","2016","2016","04","Poultry meat","000 Tonnes","120"
"ABA06C04","Meat Exports","2017","2017","-","Total Meat","000 Tonnes","1000.444528"
"ABA06C04","Meat Exports","2017","2017","01","Beef and veal","000 Tonnes","556.4414698"
"ABA06C04","Meat Exports","2017","2017","02","Pig meat","000 Tonnes","260.5449507"
"ABA06C04","Meat Exports","2017","2017","03","Sheep meat","000 Tonnes","56.97990739"
"ABA06C04","Meat Exports","2017","2017","04","Poultry meat","000 Tonnes","126.4782"
"ABA06C04","Meat Exports","2018","2018","-","Total Meat","000 Tonnes","1027.446424"
"ABA06C04","Meat Exports","2018","2018","01","Beef and veal","000 Tonnes","568.3231705"
"ABA06C04","Meat Exports","2018","2018","02","Pig meat","000 Tonnes","277.0199"
"ABA06C04","Meat Exports","2018","2018","03","Sheep meat","000 Tonnes","56.21005303"
"ABA06C04","Meat Exports","2018","2018","04","Poultry meat","000 Tonnes","125.8933"
"ABA06C04","Meat Exports","2019","2019","-","Total Meat","000 Tonnes","1008.9399"
"ABA06C04","Meat Exports","2019","2019","01","Beef and veal","000 Tonnes","560.5454"
"ABA06C04","Meat Exports","2019","2019","02","Pig meat","000 Tonnes","256.641"
"ABA06C04","Meat Exports","2019","2019","03","Sheep meat","000 Tonnes","55.2543"
"ABA06C04","Meat Exports","2019","2019","04","Poultry meat","000 Tonnes","136.4992"
"ABA06C04","Meat Exports","2020","2020","-","Total Meat","000 Tonnes","1018.0522"
"ABA06C04","Meat Exports","2020","2020","01","Beef and veal","000 Tonnes","574.0213"
"ABA06C04","Meat Exports","2020","2020","02","Pig meat","000 Tonnes","258.0258"
"ABA06C04","Meat Exports","2020","2020","03","Sheep meat","000 Tonnes","57.197"
"ABA06C04","Meat Exports","2020","2020","04","Poultry meat","000 Tonnes","128.8081"
"ABA06C04","Meat Exports","2021","2021","-","Total Meat","000 Tonnes","961.1005"
"ABA06C04","Meat Exports","2021","2021","01","Beef and veal","000 Tonnes","541.5027"
"ABA06C04","Meat Exports","2021","2021","02","Pig meat","000 Tonnes","264.8201"
"ABA06C04","Meat Exports","2021","2021","03","Sheep meat","000 Tonnes","54.5033"
"ABA06C04","Meat Exports","2021","2021","04","Poultry meat","000 Tonnes","100.2744"
"ABA06C05","Variation in Meat Stocks","2012","2012","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2012","2012","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2012","2012","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2012","2012","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2012","2012","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2013","2013","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2013","2013","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2013","2013","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2013","2013","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2013","2013","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2014","2014","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2014","2014","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2014","2014","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2014","2014","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2014","2014","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2015","2015","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2015","2015","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2015","2015","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2015","2015","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2015","2015","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2016","2016","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2016","2016","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2016","2016","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2016","2016","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2016","2016","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2017","2017","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2017","2017","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2017","2017","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2017","2017","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2017","2017","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2018","2018","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2018","2018","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2018","2018","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2018","2018","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2018","2018","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2019","2019","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2019","2019","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2019","2019","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2019","2019","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2019","2019","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2020","2020","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2020","2020","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2020","2020","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2020","2020","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2020","2020","04","Poultry meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2021","2021","-","Total Meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2021","2021","01","Beef and veal","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2021","2021","02","Pig meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2021","2021","03","Sheep meat","000 Tonnes","0"
"ABA06C05","Variation in Meat Stocks","2021","2021","04","Poultry meat","000 Tonnes","0"
"ABA06C06","Meat Products for Domestic Use","2012","2012","-","Total Meat","000 Tonnes","371"
"ABA06C06","Meat Products for Domestic Use","2012","2012","01","Beef and veal","000 Tonnes","89"
"ABA06C06","Meat Products for Domestic Use","2012","2012","02","Pig meat","000 Tonnes","126"
"ABA06C06","Meat Products for Domestic Use","2012","2012","03","Sheep meat","000 Tonnes","16"
"ABA06C06","Meat Products for Domestic Use","2012","2012","04","Poultry meat","000 Tonnes","140"
"ABA06C06","Meat Products for Domestic Use","2013","2013","-","Total Meat","000 Tonnes","390"
"ABA06C06","Meat Products for Domestic Use","2013","2013","01","Beef and veal","000 Tonnes","87"
"ABA06C06","Meat Products for Domestic Use","2013","2013","02","Pig meat","000 Tonnes","145"
"ABA06C06","Meat Products for Domestic Use","2013","2013","03","Sheep meat","000 Tonnes","15"
"ABA06C06","Meat Products for Domestic Use","2013","2013","04","Poultry meat","000 Tonnes","143"
"ABA06C06","Meat Products for Domestic Use","2014","2014","-","Total Meat","000 Tonnes","393"
"ABA06C06","Meat Products for Domestic Use","2014","2014","01","Beef and veal","000 Tonnes","88"
"ABA06C06","Meat Products for Domestic Use","2014","2014","02","Pig meat","000 Tonnes","151"
"ABA06C06","Meat Products for Domestic Use","2014","2014","03","Sheep meat","000 Tonnes","16"
"ABA06C06","Meat Products for Domestic Use","2014","2014","04","Poultry meat","000 Tonnes","138"
"ABA06C06","Meat Products for Domestic Use","2015","2015","-","Total Meat","000 Tonnes","398"
"ABA06C06","Meat Products for Domestic Use","2015","2015","01","Beef and veal","000 Tonnes","87"
"ABA06C06","Meat Products for Domestic Use","2015","2015","02","Pig meat","000 Tonnes","147"
"ABA06C06","Meat Products for Domestic Use","2015","2015","03","Sheep meat","000 Tonnes","16"
"ABA06C06","Meat Products for Domestic Use","2015","2015","04","Poultry meat","000 Tonnes","149"
"ABA06C06","Meat Products for Domestic Use","2016","2016","-","Total Meat","000 Tonnes","419"
"ABA06C06","Meat Products for Domestic Use","2016","2016","01","Beef and veal","000 Tonnes","89"
"ABA06C06","Meat Products for Domestic Use","2016","2016","02","Pig meat","000 Tonnes","148"
"ABA06C06","Meat Products for Domestic Use","2016","2016","03","Sheep meat","000 Tonnes","15"
"ABA06C06","Meat Products for Domestic Use","2016","2016","04","Poultry meat","000 Tonnes","167"
"ABA06C06","Meat Products for Domestic Use","2017","2017","-","Total Meat","000 Tonnes","422.5216891"
"ABA06C06","Meat Products for Domestic Use","2017","2017","01","Beef and veal","000 Tonnes","94.49011361"
"ABA06C06","Meat Products for Domestic Use","2017","2017","02","Pig meat","000 Tonnes","148.9587"
"ABA06C06","Meat Products for Domestic Use","2017","2017","03","Sheep meat","000 Tonnes","16.04901316"
"ABA06C06","Meat Products for Domestic Use","2017","2017","04","Poultry meat","000 Tonnes","163.0238623"
"ABA06C06","Meat Products for Domestic Use","2018","2018","-","Total Meat","000 Tonnes","438.8591871"
"ABA06C06","Meat Products for Domestic Use","2018","2018","01","Beef and veal","000 Tonnes","95"
"ABA06C06","Meat Products for Domestic Use","2018","2018","02","Pig meat","000 Tonnes","149.9183999"
"ABA06C06","Meat Products for Domestic Use","2018","2018","03","Sheep meat","000 Tonnes","18.1358396"
"ABA06C06","Meat Products for Domestic Use","2018","2018","04","Poultry meat","000 Tonnes","175.8049475"
"ABA06C06","Meat Products for Domestic Use","2019","2019","-","Total Meat","000 Tonnes","444.0337309"
"ABA06C06","Meat Products for Domestic Use","2019","2019","01","Beef and veal","000 Tonnes","95.5"
"ABA06C06","Meat Products for Domestic Use","2019","2019","02","Pig meat","000 Tonnes","156.3640992"
"ABA06C06","Meat Products for Domestic Use","2019","2019","03","Sheep meat","000 Tonnes","18"
"ABA06C06","Meat Products for Domestic Use","2019","2019","04","Poultry meat","000 Tonnes","174.1696317"
"ABA06C06","Meat Products for Domestic Use","2020","2020","-","Total Meat","000 Tonnes","442.4733632"
"ABA06C06","Meat Products for Domestic Use","2020","2020","01","Beef and veal","000 Tonnes","94"
"ABA06C06","Meat Products for Domestic Use","2020","2020","02","Pig meat","000 Tonnes","156.3179"
"ABA06C06","Meat Products for Domestic Use","2020","2020","03","Sheep meat","000 Tonnes","16"
"ABA06C06","Meat Products for Domestic Use","2020","2020","04","Poultry meat","000 Tonnes","176.1554632"
"ABA06C06","Meat Products for Domestic Use","2021","2021","-","Total Meat","000 Tonnes","462.0418784"
"ABA06C06","Meat Products for Domestic Use","2021","2021","01","Beef and veal","000 Tonnes","95"
"ABA06C06","Meat Products for Domestic Use","2021","2021","02","Pig meat","000 Tonnes","156.1789"
"ABA06C06","Meat Products for Domestic Use","2021","2021","03","Sheep meat","000 Tonnes","15.5"
"ABA06C06","Meat Products for Domestic Use","2021","2021","04","Poultry meat","000 Tonnes","195.3629784"
"ABA06C07","Human Consumption of Meat Products","2012","2012","-","Total Meat","Kg per capita","81"
"ABA06C07","Human Consumption of Meat Products","2012","2012","01","Beef and veal","Kg per capita","19"
"ABA06C07","Human Consumption of Meat Products","2012","2012","02","Pig meat","Kg per capita","27"
